path,category,size_mb,status,rows,columns,error
data/processed/legacy_xbrl/q4quarter_all/KR/KR_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/KVUE/KVUE_q4quarter.parquet,processed_data,0.016,PASS,2,27,
data/processed/legacy_xbrl/q4quarter_all/KVUE/KVUE_q4quarter_summary.parquet,processed_data,0.003,PASS,2,4,
data/processed/legacy_xbrl/q4quarter_all/LIN/LIN_q4quarter.parquet,processed_data,0.017,PASS,8,26,
data/processed/legacy_xbrl/q4quarter_all/LIN/LIN_q4quarter_summary.parquet,processed_data,0.003,PASS,8,4,
data/processed/legacy_xbrl/q4quarter_all/LLY/LLY_q4quarter.parquet,processed_data,0.017,PASS,16,25,
data/processed/legacy_xbrl/q4quarter_all/LLY/LLY_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/LMT/LMT_q4quarter.parquet,processed_data,0.019,PASS,16,28,
data/processed/legacy_xbrl/q4quarter_all/LMT/LMT_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/LOW/LOW_q4quarter.parquet,processed_data,0.018,PASS,15,26,
data/processed/legacy_xbrl/q4quarter_all/LOW/LOW_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/LRCX/LRCX_q4quarter.parquet,processed_data,0.019,PASS,14,29,
data/processed/legacy_xbrl/q4quarter_all/LRCX/LRCX_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/LULU/LULU_q4quarter.parquet,processed_data,0.018,PASS,15,26,
data/processed/legacy_xbrl/q4quarter_all/LULU/LULU_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/MA/MA_q4quarter.parquet,processed_data,0.018,PASS,16,26,
data/processed/legacy_xbrl/q4quarter_all/MA/MA_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/MAR/MAR_q4quarter.parquet,processed_data,0.018,PASS,16,26,
data/processed/legacy_xbrl/q4quarter_all/MAR/MAR_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/MCD/MCD_q4quarter.parquet,processed_data,0.019,PASS,16,27,
data/processed/legacy_xbrl/q4quarter_all/MCD/MCD_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/MCHP/MCHP_q4quarter.parquet,processed_data,0.02,PASS,15,30,
data/processed/legacy_xbrl/q4quarter_all/MCHP/MCHP_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/MCK/MCK_q4quarter.parquet,processed_data,0.02,PASS,16,30,
data/processed/legacy_xbrl/q4quarter_all/MCK/MCK_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/MCO/MCO_q4quarter.parquet,processed_data,0.019,PASS,16,27,
data/processed/legacy_xbrl/q4quarter_all/MCO/MCO_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/MDB/MDB_q4quarter.parquet,processed_data,0.017,PASS,8,27,
data/processed/legacy_xbrl/q4quarter_all/MDB/MDB_q4quarter_summary.parquet,processed_data,0.003,PASS,8,4,
data/processed/legacy_xbrl/q4quarter_all/MDLZ/MDLZ_q4quarter.parquet,processed_data,0.019,PASS,16,27,
