model,split,rows,positives,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target,model_family,seed,params_json,sample_weighted,fit_seconds
extra_trees_cfg3_seed202,validation,6029,834,0.34878255121382873,0.9159053507915516,0.6958858468593104,0.6307857911733046,0.7026378896882494,0.6647759500850822,4852,343,248,586,failure_pressure_conservative_v2_next_4obs,extra_trees,202,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,2.626
extra_trees_cfg3_seed202,test,5734,575,0.34878255121382873,0.924755555930118,0.6591657120859178,0.6061046511627907,0.7252173913043478,0.6603325415676959,4888,271,158,417,failure_pressure_conservative_v2_next_4obs,extra_trees,202,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,2.626
extra_trees_cfg3_seed777,train,17145,1555,0.3487918648829145,0.9996234704000627,0.9964812702912823,0.752542372881356,0.9993569131832798,0.8585635359116022,15079,511,1,1554,failure_pressure_conservative_v2_next_4obs,extra_trees,777,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,2.647
extra_trees_cfg3_seed777,validation,6029,834,0.3487918648829145,0.9166305454192951,0.6920863431771319,0.6373507057546145,0.7038369304556354,0.6689458689458688,4861,334,247,587,failure_pressure_conservative_v2_next_4obs,extra_trees,777,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,2.647
extra_trees_cfg3_seed777,test,5734,575,0.3487918648829145,0.9250892909815688,0.655298647349443,0.6156156156156156,0.7130434782608696,0.660757453666398,4903,256,165,410,failure_pressure_conservative_v2_next_4obs,extra_trees,777,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,2.647
gradient_boosting_cfg1_seed42,train,17145,1555,0.8098631007209564,0.9625247241924806,0.7566698535155388,0.6744593804792519,0.7421221864951768,0.7066748315982854,15033,557,401,1154,failure_pressure_conservative_v2_next_4obs,gradient_boosting,42,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,17.782
gradient_boosting_cfg1_seed42,validation,6029,834,0.8098631007209564,0.919453542074906,0.6750012049953534,0.656392694063927,0.6894484412470024,0.672514619883041,4894,301,259,575,failure_pressure_conservative_v2_next_4obs,gradient_boosting,42,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,17.782
gradient_boosting_cfg1_seed42,test,5734,575,0.8098631007209564,0.9460421214087663,0.7190752564013427,0.6611940298507463,0.7704347826086957,0.7116465863453816,4932,227,132,443,failure_pressure_conservative_v2_next_4obs,gradient_boosting,42,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,17.782
gradient_boosting_cfg1_seed202,train,17145,1555,0.8077364272182348,0.9626792465283006,0.7564649209525169,0.675596971461852,0.7459807073954984,0.7090464547677261,15033,557,395,1160,failure_pressure_conservative_v2_next_4obs,gradient_boosting,202,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,17.722
gradient_boosting_cfg1_seed202,validation,6029,834,0.8077364272182348,0.9197276250222151,0.6699836347260948,0.6609783845278726,0.6966426858513189,0.6783420899007588,4897,298,253,581,failure_pressure_conservative_v2_next_4obs,gradient_boosting,202,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,17.722
gradient_boosting_cfg1_seed202,test,5734,575,0.8077364272182348,0.9463443370386915,0.714835830512627,0.6733436055469953,0.76,0.7140522875816993,4947,212,138,437,failure_pressure_conservative_v2_next_4obs,gradient_boosting,202,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,17.722
gradient_boosting_cfg1_seed777,train,17145,1555,0.7836899190338873,0.9623060787997912,0.7519720549346489,0.6512261580381471,0.7684887459807074,0.7050147492625368,14950,640,360,1195,failure_pressure_conservative_v2_next_4obs,gradient_boosting,777,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,17.74
gradient_boosting_cfg1_seed777,validation,6029,834,0.7836899190338873,0.9194624281325662,0.6683914596166486,0.6347177848775293,0.7146282973621103,0.6723068245910885,4852,343,238,596,failure_pressure_conservative_v2_next_4obs,gradient_boosting,777,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,17.74
gradient_boosting_cfg1_seed777,test,5734,575,0.7836899190338873,0.9461290947858112,0.7121438953952559,0.6558345642540621,0.7721739130434783,0.70926517571885,4926,233,131,444,failure_pressure_conservative_v2_next_4obs,gradient_boosting,777,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,17.74
gradient_boosting_cfg2_seed42,train,17145,1555,0.7630707060176163,0.9782868274452459,0.834506748100178,0.6915180983252296,0.8231511254019293,0.7516147974163242,15019,571,275,1280,failure_pressure_conservative_v2_next_4obs,gradient_boosting,42,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 0.85}",True,36.322
gradient_boosting_cfg2_seed42,validation,6029,834,0.7630707060176163,0.9195811781758423,0.6833652252391165,0.6292735042735043,0.7062350119904077,0.6655367231638418,4848,347,245,589,failure_pressure_conservative_v2_next_4obs,gradient_boosting,42,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 0.85}",True,36.322
gradient_boosting_cfg2_seed42,test,5734,575,0.7630707060176163,0.9414197223931162,0.705122698021746,0.6413690476190477,0.7495652173913043,0.6912590216519647,4918,241,144,431,failure_pressure_conservative_v2_next_4obs,gradient_boosting,42,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 0.85}",True,36.322
gradient_boosting_cfg2_seed202,train,17145,1555,0.7099230417939877,0.9783390705147375,0.8294390255648392,0.6543392504930966,0.8533762057877814,0.7407200669829751,14889,701,228,1327,failure_pressure_conservative_v2_next_4obs,gradient_boosting,202,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 0.85}",True,36.03
gradient_boosting_cfg2_seed202,validation,6029,834,0.7099230417939877,0.9202620579186312,0.6858471294196394,0.6059405940594059,0.7338129496402878,0.6637744034707158,4797,398,222,612,failure_pressure_conservative_v2_next_4obs,gradient_boosting,202,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 0.85}",True,36.03
gradient_boosting_cfg2_seed202,test,5734,575,0.7099230417939877,0.941312522649317,0.6971526749800584,0.6181818181818182,0.768695652173913,0.6852713178294574,4886,273,133,442,failure_pressure_conservative_v2_next_4obs,gradient_boosting,202,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 0.85}",True,36.03
gradient_boosting_cfg2_seed777,train,17145,1555,0.7406686152458244,0.9783098655457678,0.8313014253017377,0.6803962460896767,0.8392282958199357,0.7515116613878492,14977,613,250,1305,failure_pressure_conservative_v2_next_4obs,gradient_boosting,777,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 0.85}",True,35.842
