event_type,Sector,rows,firms,distress_rows,distress_share,success_resilience_share,avg_roa,avg_leverage,avg_cash_assets
commodity_oil,Healthcare,342,48,0,0.0,0.5121951219512195,-0.004316353510782662,0.5044397450984943,0.1897262840251659
commodity_oil,Industrials,690,93,0,0.0,0.7437810945273632,0.016471429258489396,0.6365323220039637,0.09752462061765624
commodity_oil,Real Estate,236,34,0,0.0,0.7899543378995434,0.00427053074806059,0.572212916992921,0.053507352778300606
commodity_oil,Utilities,265,36,0,0.0,0.6574074074074074,0.0023378804719242393,0.634320998967816,0.03316847453624132
financial_crisis,ALL,509,260,0,0.0,0.6688963210702341,0.013883145964599905,0.6369852870578958,0.09021245875937452
financial_crisis,Basic Materials,11,5,0,0.0,1.0,0.0258684820774233,0.5529027330608097,0.04146247815292921
financial_crisis,Communication Services,16,8,0,0.0,0.5,0.0059335904356702185,0.5284395516529439,0.09062161247464086
financial_crisis,Consumer Cyclical,38,22,0,0.0,0.6666666666666666,0.01848890992161849,0.5923237849122153,0.10323214487755251
financial_crisis,Consumer Defensive,21,12,0,0.0,0.7272727272727273,0.02554281966530961,0.7132339619773633,0.0648762869227058
financial_crisis,Energy,48,24,0,0.0,0.5,-0.0011634368479450723,0.6031170875410623,0.02994977244442811
financial_crisis,Financial Services,90,46,0,0.0,0.3176470588235294,0.008366011412076546,0.7911802824748385,0.08609067287948147
financial_crisis,Healthcare,47,23,0,0.0,1.0,0.025365409917951928,0.4436398559959891,0.10331293500638536
financial_crisis,Industrials,107,53,0,0.0,0.847457627118644,0.01693981720780446,0.6397511847114649,0.0964536929864375
financial_crisis,Real Estate,20,10,0,0.0,0.8,0.005538463197566005,0.5790018746280264,0.056322572009291735
financial_crisis,Technology,71,37,0,0.0,0.8888888888888888,0.01809791114389463,0.4603466793180883,0.1668557087186706
financial_crisis,Utilities,40,20,0,0.0,1.0,0.007733679785036053,0.7057268316037496,0.02447759164806391
financial_market,Energy,113,40,7,0.061946902654867256,0.2222222222222222,-0.06995856586830951,0.5482968293913418,0.05460032233716128
financial_market,Technology,199,69,2,0.010050251256281407,0.6993006993006993,0.017464666451381495,0.5516582120345378,0.15495540721397003
financial_market,ALL,1425,486,9,0.00631578947368421,0.594855305466238,0.004560174881530888,0.6398253702596582,0.09609328111403273
financial_market,Agriculture,5,2,0,0.0,1.0,0.01314775679423478,0.3156263599270272,0.03233029713511698
financial_market,Basic Materials,15,5,0,0.0,0.5833333333333334,0.003837392535597674,0.5805642235960805,0.03385518207176897
financial_market,Communication Services,83,30,0,0.0,0.4772727272727273,0.00835001863743533,0.6663210875911678,0.0886263873895477
financial_market,Consumer Cyclical,145,49,0,0.0,0.5294117647058824,0.016240778088565753,0.6298859881327381,0.08671955853242298
financial_market,Consumer Defensive,43,15,0,0.0,0.6896551724137931,0.023249118375701115,0.8042578931703117,0.08729931848769526
