target,target_family,model,calibrator,split,threshold_type,threshold_label,threshold,rows,positives,selected_rows,selected_share,precision,recall,f1,base_rate,lift_vs_base_rate
stress_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,test,probability_threshold,p_ge_0.50,0.5,3028,1920,1995,0.6588507265521797,0.9238095238095239,0.9598958333333333,0.941507024265645,0.6340819022457067,1.4569246031746033
stress_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,test,probability_threshold,p_ge_0.75,0.75,3028,1920,1812,0.5984147952443857,0.9464679911699779,0.8932291666666666,0.9190782422293675,0.6340819022457067,1.4926588944076529
stress_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,test,probability_threshold,p_ge_0.90,0.9,3028,1920,1354,0.4471598414795244,0.9778434268833087,0.6895833333333333,0.8087965791081246,0.6340819022457067,1.5421405711472183
stress_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,test,split_f1_optimal_diagnostic,diagnostic_split_f1_optimal,0.5265710236220101,3028,1920,1992,0.6578599735799208,0.9246987951807228,0.959375,0.941717791411043,0.6340819022457067,1.4583270582329317
recovery_next_4obs,validated_secondary_production,gradient_boosting,isotonic_validation,validation,top_rank_share,top_1pct,1.0,2557,1181,26,0.01,1.0,0.02201524132091448,0.043082021541010776,0.4618693781775518,2.165114309906859
recovery_next_4obs,validated_secondary_production,gradient_boosting,isotonic_validation,validation,top_rank_share,top_5pct,0.9963369963369964,2557,1181,128,0.05,1.0,0.10838272650296359,0.19556913674560733,0.4618693781775518,2.165114309906859
recovery_next_4obs,validated_secondary_production,gradient_boosting,isotonic_validation,validation,top_rank_share,top_10pct,0.9963369963369964,2557,1181,256,0.1,0.99609375,0.21591871295512277,0.35490605427974947,0.4618693781775518,2.156656832133785
recovery_next_4obs,validated_secondary_production,gradient_boosting,isotonic_validation,validation,probability_threshold,p_ge_0.10,0.1,2557,1181,1651,0.6456785295267892,0.7001817080557238,0.97883149872989,0.8163841807909604,0.4618693781775518,1.515973435646474
recovery_next_4obs,validated_secondary_production,gradient_boosting,isotonic_validation,validation,probability_threshold,p_ge_0.25,0.25,2557,1181,1496,0.5850606179116151,0.7586898395721925,0.9610499576629975,0.8479641389615241,0.4618693781775518,1.6426502284386928
recovery_next_4obs,validated_secondary_production,gradient_boosting,isotonic_validation,validation,probability_threshold,p_ge_0.50,0.5,2557,1181,1128,0.44114196323816973,0.8829787234042553,0.8433530906011855,0.8627111303594629,0.4618693781775518,1.9117498693858432
recovery_next_4obs,validated_secondary_production,gradient_boosting,isotonic_validation,validation,probability_threshold,p_ge_0.75,0.75,2557,1181,944,0.369182635901447,0.934322033898305,0.7468247248094835,0.8301176470588234,0.4618693781775518,2.0229140056545014
recovery_next_4obs,validated_secondary_production,gradient_boosting,isotonic_validation,validation,probability_threshold,p_ge_0.90,0.9,2557,1181,768,0.30035197497066873,0.9713541666666666,0.6316680779000847,0.7655207798871216,0.4618693781775518,2.1030928062376515
recovery_next_4obs,validated_secondary_production,gradient_boosting,isotonic_validation,validation,split_f1_optimal_diagnostic,diagnostic_split_f1_optimal,0.44339622641509435,2557,1181,1279,0.5001955416503715,0.8318999218139171,0.9009314140558848,0.865040650406504,0.4618693781775518,1.8011584251297088
recovery_next_4obs,validated_secondary_production,gradient_boosting,isotonic_validation,test,top_rank_share,top_1pct,1.0,2419,1199,25,0.01,1.0,0.020850708924103418,0.04084967320261437,0.49565936337329475,2.017514595496247
recovery_next_4obs,validated_secondary_production,gradient_boosting,isotonic_validation,test,top_rank_share,top_5pct,0.9963369963369964,2419,1199,121,0.05,1.0,0.10091743119266056,0.18333333333333332,0.49565936337329475,2.017514595496247
recovery_next_4obs,validated_secondary_production,gradient_boosting,isotonic_validation,test,top_rank_share,top_10pct,0.9963369963369964,2419,1199,242,0.1,1.0,0.2018348623853211,0.33587786259541985,0.49565936337329475,2.017514595496247
