experiment,model,seed,split,rows,positives,positive_share,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target
test_broader_targets2,gradient_boosting,42,train,17164,5519,0.3215450943835936,0.5066008290434176,0.9761106232725373,0.9447432269819569,0.8293185419968304,0.9481790179380323,0.8847747062304505,10568,1077,286,5233,success_composite_balanced_next_4obs
test_broader_targets2,gradient_boosting,42,validation,6012,1787,0.2972388556220892,0.5066008290434176,0.9585252464379492,0.9019284817949134,0.7804410354745925,0.9110240626748741,0.8406919700490576,3767,458,159,1628,success_composite_balanced_next_4obs
test_broader_targets2,gradient_boosting,42,test,4350,1385,0.31839080459770114,0.5066008290434176,0.9639539513335484,0.9173454344408738,0.7942464040025016,0.9169675090252708,0.851206434316354,2636,329,115,1270,success_composite_balanced_next_4obs
test_broader_targets2,gradient_boosting,202,train,17164,5519,0.3215450943835936,0.4851152104361597,0.9759844499866226,0.944572004494733,0.8218921032056294,0.9523464395723863,0.8823233171059257,10506,1139,263,5256,success_composite_balanced_next_4obs
test_broader_targets2,gradient_boosting,202,validation,6012,1787,0.2972388556220892,0.4851152104361597,0.9585978947229001,0.9019340587290638,0.7754137115839244,0.9177392277560157,0.840594566888775,3750,475,147,1640,success_composite_balanced_next_4obs
test_broader_targets2,gradient_boosting,202,test,4350,1385,0.31839080459770114,0.4851152104361597,0.9637502511247343,0.9166977319785982,0.7867647058823529,0.9270758122743682,0.8511766655618163,2617,348,101,1284,success_composite_balanced_next_4obs
test_broader_targets2,gradient_boosting,777,train,17164,5519,0.3215450943835936,0.4851152104361597,0.9759844499866226,0.944572004494733,0.8218921032056294,0.9523464395723863,0.8823233171059257,10506,1139,263,5256,success_composite_balanced_next_4obs
test_broader_targets2,gradient_boosting,777,validation,6012,1787,0.2972388556220892,0.4851152104361597,0.9586321990178905,0.9019670822244467,0.7754137115839244,0.9177392277560157,0.840594566888775,3750,475,147,1640,success_composite_balanced_next_4obs
test_broader_targets2,gradient_boosting,777,test,4350,1385,0.31839080459770114,0.4851152104361597,0.9637558519672959,0.916726675061324,0.7867647058823529,0.9270758122743682,0.8511766655618163,2617,348,101,1284,success_composite_balanced_next_4obs
test_broader_targets3,logistic_l2,42,train,17197,3468,0.20166308076990172,0.8309168947470038,0.8568238600835097,0.6687887969029649,0.7871208089409261,0.4264705882352941,0.5532074060220684,13329,400,1989,1479,failure_pressure_sector_relative_next_4obs
