experiment,model,feature_set,seed,split,rows,positives,positive_share,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target
test_target_tweaks4,logistic_l2,all_features,42,validation,6043,1269,0.2099950355783551,0.8180667797701968,0.7875594689252892,0.5539693990710082,0.5155826558265583,0.5996847911741529,0.5544626593806922,4059,715,508,761,failure_pressure_sector_strict_next_4obs
test_target_tweaks4,logistic_l2,all_features,42,test,4412,878,0.19900271985494106,0.8180667797701968,0.8047286818707433,0.618781317888688,0.20782693242586292,0.9738041002277904,0.34254807692307687,275,3259,23,855,failure_pressure_sector_strict_next_4obs
test_target_tweaks4,random_forest,all_features,42,train,17197,2557,0.1486887247775775,0.3640801649914911,0.9955556214484615,0.9714295688176078,0.7474422683425899,1.0,0.855470056875209,13776,864,0,2557,failure_pressure_sector_strict_next_4obs
test_target_tweaks4,random_forest,all_features,42,validation,6043,1269,0.2099950355783551,0.3640801649914911,0.8728549342825254,0.6996532071723797,0.6288365453247681,0.69424743892829,0.6599250936329588,4254,520,388,881,failure_pressure_sector_strict_next_4obs
test_target_tweaks4,random_forest,all_features,42,test,4412,878,0.19900271985494106,0.3640801649914911,0.8678789707017931,0.7132020589303797,0.6143451143451143,0.673120728929385,0.6423913043478262,3163,371,287,591,failure_pressure_sector_strict_next_4obs
test_target_tweaks4,random_forest,all_features,202,train,17197,2557,0.1486887247775775,0.38179316142377756,0.9954380827515167,0.970837859128469,0.771342383107089,1.0,0.8709128065395096,13882,758,0,2557,failure_pressure_sector_strict_next_4obs
test_target_tweaks4,random_forest,all_features,202,validation,6043,1269,0.2099950355783551,0.38179316142377756,0.8728912486633831,0.7002987316464205,0.6365671641791045,0.6721828211189913,0.6538903794557303,4287,487,416,853,failure_pressure_sector_strict_next_4obs
test_target_tweaks4,random_forest,all_features,202,test,4412,878,0.19900271985494106,0.38179316142377756,0.8689454089334586,0.7122403256119572,0.6367614879649891,0.662870159453303,0.6495535714285714,3202,332,296,582,failure_pressure_sector_strict_next_4obs
test_target_tweaks4,gradient_boosting,all_features,42,train,17197,2557,0.1486887247775775,0.594884988285336,0.9318306812329168,0.7643782591378552,0.5924043062200957,0.7747360187719984,0.6714116251482798,13277,1363,576,1981,failure_pressure_sector_strict_next_4obs
test_target_tweaks4,gradient_boosting,all_features,42,validation,6043,1269,0.2099950355783551,0.594884988285336,0.8720887008464222,0.6974447413641984,0.6014445173998687,0.7218282111899134,0.6561604584527221,4167,607,353,916,failure_pressure_sector_strict_next_4obs
test_target_tweaks4,gradient_boosting,all_features,42,test,4412,878,0.19900271985494106,0.594884988285336,0.8755876851361265,0.7137091307893587,0.607976653696498,0.7118451025056948,0.6558237145855195,3131,403,253,625,failure_pressure_sector_strict_next_4obs
test_target_tweaks4,gradient_boosting,all_features,202,train,17197,2557,0.1486887247775775,0.594884988285336,0.9318306812329168,0.7643782591378552,0.5924043062200957,0.7747360187719984,0.6714116251482798,13277,1363,576,1981,failure_pressure_sector_strict_next_4obs
test_target_tweaks4,gradient_boosting,all_features,202,validation,6043,1269,0.2099950355783551,0.594884988285336,0.8720705436559931,0.6975565160831255,0.6011826544021025,0.7210401891252955,0.6556789681117878,4167,607,354,915,failure_pressure_sector_strict_next_4obs
test_target_tweaks4,gradient_boosting,all_features,202,test,4412,878,0.19900271985494106,0.594884988285336,0.8757965252612759,0.7137533996361531,0.6062075654704171,0.7118451025056948,0.6547930853850183,3128,406,253,625,failure_pressure_sector_strict_next_4obs
