experiment,target,model,feature_set,seed,feature,feature_clean,feature_group,importance,signed_value
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__net_income_negative_count_prior_4obs,net_income_negative_count_prior_4obs,firm_trend,0.3180421837101998,0.3180421837101998
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__roa_lag1,roa_lag1,firm_trend,0.05182398006761469,0.05182398006761469
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__operating_income,operating_income,accounting_fundamental,0.032801689009394376,0.032801689009394376
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__roa,roa,financial_ratio,0.02483282625002187,0.02483282625002187
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__total_equity,total_equity,accounting_fundamental,0.01407986351624142,0.01407986351624142
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__missingindicator_roa_lag1,roa_lag1,firm_trend,0.011202268873580449,0.011202268873580449
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,cat__Sector_Financial Services,Sector_Financial Services,sector,0.009313631860210957,0.009313631860210957
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,cat__Sector_Energy,Sector_Energy,sector,0.008273487908912457,0.008273487908912457
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__operating_margin_lag1,operating_margin_lag1,firm_trend,0.007720068973552965,0.007720068973552965
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__DCOILWTICO_yoy_pct,DCOILWTICO_yoy_pct,macro,0.007647851358769781,0.007647851358769781
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__inventory_assets,inventory_assets,financial_ratio,0.007496714950684648,0.007496714950684648
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__cash_assets_lag1,cash_assets_lag1,firm_trend,0.003939458409429441,0.003939458409429441
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__total_revenue_growth_4obs,total_revenue_growth_4obs,firm_trend,0.0035642699432364713,0.0035642699432364713
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__missingindicator_total_assets_growth_4obs,total_assets_growth_4obs,firm_trend,0.003405718622183369,0.003405718622183369
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__total_assets,total_assets,accounting_fundamental,0.0033076419120950137,0.0033076419120950137
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__total_assets_growth_4obs,total_assets_growth_4obs,firm_trend,0.003090942657065664,0.003090942657065664
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__total_liabilities,total_liabilities,accounting_fundamental,0.002637990776847284,0.002637990776847284
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,gradient_boosting,all_features,42,num__receivables_assets,receivables_assets,financial_ratio,0.0026208808486836207,0.0026208808486836207
